域名	解析IP	开放端口	WEB服务器	网站状态
ds.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
doc.open.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
ebppprod.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
egg.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
dk.alipay.com	45.113.42.213	-	端口未开放	端口未开放
enterpriseportal.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
dev.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
e.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
forexprod.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
financeprod.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
excashier.alipay.com	110.76.15.161,110.76.15.97	80,443	Tengine/2.1.0	80:正常访问
guild.merchant.alipay.com	110.75.139.5	80	Tengine	80:正常访问
fenqi.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine	80:正常访问
hd.alipay.com	110.75.139.5	80	Tengine	80:正常访问
fuwu.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
goldetfprod.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
global.alipay.com	205.204.122.173	80,443	Tengine/2.1.0	80:正常访问
hb.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
huafei.alipay.com	110.75.139.5	80	Tengine	80:正常访问
help.qiye.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
img.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine	80:正常访问
fk.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
globalprod.alipay.com	110.76.30.76,110.75.231.7,110.75.139.2,110.75.129.2	443	Tengine/2.1.0	443:正常访问
help.lab.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
intl.alipay.com	205.204.107.201,198.11.148.201	80,443	Tengine/2.1.0	80:正常访问
fundpay.alipay.com	110.75.138.10,110.75.139.1	443	Tengine/2.1.0	443:正常访问
jiaofei.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
job.alipay.com	47.254.143.88	80,443	Tengine/Aserver	80:正常访问
jfb.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
hongbao.alipay.com	110.76.15.173,110.76.15.98	80,443	Tengine/2.1.0	80:(500) 内部服务器错误
jifen.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
life.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
jf.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
help.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
jh.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
love.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
hl.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
luopan.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
ibill.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
mapp.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
mdeduct.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
logistics.open.alipay.com	42.121.252.117	-	端口未开放	端口未开放
me.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
mobiless.alipay.com	110.76.30.76,110.75.129.2	443	Tengine/2.1.0	443:(404) 未找到
merchantprod.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
notify.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:正常访问
mapi.alipay.com	110.75.236.40,110.75.244.17,110.75.231.40,110.76.18.40,110.75.244.40	80,443	Tengine/2.1.0	80:正常访问
mclient.alipay.com	203.209.230.31,203.209.230.8,203.209.230.3,203.209.230.7,203.209.230.30	80,443	Tengine/2.1.0	80:正常访问
ms.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
mobile.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
mergepayprod.alipay.com	203.209.230.30,203.209.230.3,203.209.230.31,203.209.230.7,203.209.230.8	80,443	Tengine/2.1.0	80:正常访问
mobileweb.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
my.alipay.com	110.76.15.98,110.76.15.173	80,443	Tengine/2.1.0	80:正常访问
openhome.alipay.com	110.76.30.76,110.75.129.2	443	Tengine/2.1.0	443:正常访问
mrexcashier.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
msp.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
open.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
memberprod.alipay.com	110.75.138.10,110.75.139.1	443	Tengine/2.1.0	443:(404) 未找到
payservice.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
qudao.alipay.com	110.75.139.5	80	Tengine	80:正常访问
personalportal.alipay.com	110.76.15.98,110.76.15.173	80,443	Tengine/2.1.0	80:正常访问
personalweb.alipay.com	110.75.129.2,110.76.30.76	80,443	Tengine/2.1.0	80:正常访问
pos.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(403) 已禁止
openapi.alipay.com	110.76.18.202,110.75.236.202,110.75.244.16,110.75.244.202,110.75.231.202	80,443	Tengine/2.1.0	80:正常访问
qiye.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
promoadprod.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
taobao.wap.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
tfsimg.alipay.com	110.75.139.2,110.75.129.2	80,443	Tengine/2.1.0	80:(403) 已禁止
qianbao.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
qr.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
union.alipay.com	110.75.139.5	80	Tengine	80:正常访问
mergepayprodgtj.alipay.com	110.76.15.34,110.76.15.131	80,443	Tengine/2.1.0	80:正常访问
self.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
tradeexprod.alipay.com	110.75.138.10,110.75.139.1	443	Tengine/2.1.0	443:(404) 未找到
tbapi.alipay.com	110.76.15.47,110.75.139.2,110.76.15.34,110.76.15.98,110.76.15.131,110.75.231.7,110.76.15.173,110.76.15.148,110.75.129.2,110.76.30.76	80,443	Tengine/2.1.0	80:(404) 未找到
shenghuo.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
vitamin.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
www.job.alipay.com	47.254.143.88	80,443	Tengine/Aserver	80:正常访问
taobao.alipay.com	110.76.15.173,110.76.15.98	80,443	Tengine/2.1.0	80:正常访问
uemprod.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
wap.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
virtualprod.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
ynuf.alipay.com	106.11.208.4	80,443	Tengine/Aserver	80:正常访问
wappaygw.alipay.com	203.209.230.31,203.209.230.7,203.209.230.8,203.209.230.3,203.209.230.30	80,443	Tengine/2.1.0	80:正常访问
yebprod.alipay.com	110.76.15.161,110.76.15.97	80,443	Tengine/2.1.0	80:正常访问
zd.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(404) 未找到
a.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
wapcashier.alipay.com	203.209.230.8,203.209.230.7,203.209.230.30,203.209.230.3,203.209.230.31	443	Tengine/2.1.0	443:正常访问
www.cloud.alipay.com	120.55.238.155	80,443		80:正常访问
bb.alipay.com	45.113.42.25	-	端口未开放	端口未开放
zhaocaibao.alipay.com	110.75.139.1,110.75.138.10	80,443	Tengine/2.1.0	80:(500) 内部服务器错误
o.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
cc.alipay.com	110.76.26.78	-	端口未开放	端口未开放
p.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
d1.alipay.com	110.75.228.87,110.76.26.194,45.113.40.213	-	端口未开放	端口未开放
v.alipay.com	110.75.129.2,110.75.231.7,110.76.30.76,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
q.alipay.com	103.52.198.192	-	端口未开放	端口未开放
r.alipay.com	45.113.40.135	-	端口未开放	端口未开放
tt.alipay.com	45.113.42.69	-	端口未开放	端口未开放
u.alipay.com	45.113.40.205,103.52.199.71	-	端口未开放	端口未开放
mail.alipay.com	110.75.146.47,110.75.142.47	-	端口未开放	端口未开放
feedback.alipay.com	140.205.164.47	80,443	Tengine/Aserver	80:(404) 未找到
survey.alipay.com	140.205.140.50	80,443	Tengine	80:正常访问
api.alipay.com	103.52.198.196	-	端口未开放	端口未开放
cp.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
developer.alipay.com	110.75.229.90	-	端口未开放	端口未开放
docs.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
city.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine	80:正常访问
passport.alipay.com	198.11.136.76	80,443	获取失败	80:-
team.alipay.com	110.75.228.139	-	端口未开放	端口未开放
crm.alipay.com	103.52.198.211	-	端口未开放	端口未开放
content.alipay.com	45.113.42.199	-	端口未开放	端口未开放
log.alipay.com	110.76.26.35	-	端口未开放	端口未开放
id.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
test.alipay.com	110.75.156.2	80,443	Tengine	80:正常访问
product.alipay.com	110.75.228.2,45.113.40.154	-	端口未开放	端口未开放
pm.alipay.com	103.52.198.123	-	端口未开放	端口未开放
ad.alipay.com	110.75.229.90	-	端口未开放	端口未开放
ads.alipay.com	103.52.198.163	-	端口未开放	端口未开放
show.alipay.com	45.113.42.178	-	端口未开放	端口未开放
security.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
play.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
git.alipay.com	10.253.74.248	-	端口未开放	端口未开放
image.alipay.com	110.75.139.5	80	Tengine	80:正常访问
mm.alipay.com	110.76.15.98,110.76.15.173	80,443	Tengine/2.1.0	80:正常访问
tools.alipay.com	195.27.31.238,195.27.31.216	80,443		80:正常访问
jiankong.alipay.com	110.75.229.21	-	端口未开放	端口未开放
ai.alipay.com	110.75.231.7,110.75.139.2	80,443	获取失败	80:-
search.alipay.com	100.67.88.26	-	端口未开放	端口未开放
about.alipay.com	195.27.31.238,195.27.31.216	80,443	Tengine	80:正常访问
arc.alipay.com	110.75.144.92	-	端口未开放	端口未开放
bi.alipay.com	110.75.229.3	-	端口未开放	端口未开放
community.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
ca.alipay.com	139.224.138.80,47.101.104.105	443		443:正常访问
cd.alipay.com	110.76.22.59,110.76.2.13	-	端口未开放	端口未开放
dns.alipay.com	110.75.240.29,45.113.40.61	-	端口未开放	端口未开放
data.alipay.com	110.76.26.193	-	端口未开放	端口未开放
design.alipay.com	195.27.31.238,195.27.31.216	80,443	Tengine	80:正常访问
dc.alipay.com	110.75.229.21	-	端口未开放	端口未开放
discovery.alipay.com	10.210.9.95	-	端口未开放	端口未开放
dt.alipay.com	45.113.42.115	-	端口未开放	端口未开放
fw.alipay.com	110.75.138.10,110.75.139.1	443	Tengine/2.1.0	443:正常访问
fm.alipay.com	110.75.229.83	-	端口未开放	端口未开放
fix.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
gd.alipay.com	103.52.198.236	-	端口未开放	端口未开放
ia.alipay.com	103.52.199.71,45.113.40.205	-	端口未开放	端口未开放
isp.alipay.com	110.76.26.79	-	端口未开放	端口未开放
kg.alipay.com	45.113.40.238	-	端口未开放	端口未开放
kz.alipay.com	103.52.198.162	-	端口未开放	端口未开放
ldap.alipay.com	139.224.95.34	-	端口未开放	端口未开放
lu.alipay.com	110.75.228.32,45.113.42.7	-	端口未开放	端口未开放
max.alipay.com	103.52.197.210,103.52.198.79	-	端口未开放	端口未开放
mc.alipay.com	203.209.230.7,203.209.230.31,203.209.230.8,203.209.230.3,203.209.230.30	80,443	Tengine/2.1.0	80:正常访问
ml.alipay.com	110.76.15.173,110.76.15.98	80,443	Tengine/2.1.0	80:(404) 未找到
ns2.alipay.com	110.76.21.66	-	端口未开放	端口未开放
ns1.alipay.com	45.113.40.61,110.75.240.29	-	端口未开放	端口未开放
ns3.alipay.com	110.76.21.88	-	端口未开放	端口未开放
ns4.alipay.com	45.113.40.93,110.75.232.61	-	端口未开放	端口未开放
partner.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
pr.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
pluto.alipay.com	103.52.199.71,45.113.40.205	-	端口未开放	端口未开放
privacy.alipay.com	110.75.228.21	-	端口未开放	端口未开放
proxy.alipay.com	100.67.88.32	-	端口未开放	端口未开放
pub.alipay.com	110.75.144.97	-	端口未开放	端口未开放
sm.alipay.com	10.15.1.120	-	端口未开放	端口未开放
spider.alipay.com	100.67.50.8	-	端口未开放	端口未开放
g2.alipay.com	195.27.31.216,195.27.31.238	80,443	Tengine	80:正常访问
h5.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
x6.alipay.com	110.76.17.99	-	端口未开放	端口未开放
tp.alipay.com	110.76.15.98,110.76.15.173	80,443	Tengine/2.1.0	80:正常访问
voice.alipay.com	103.52.198.193,103.52.197.50	-	端口未开放	端口未开放
vpn.alipay.com	121.0.29.107	-	端口未开放	端口未开放
ws.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
hadoop.alipay.com	10.248.0.34	-	端口未开放	端口未开放
sftp.alipay.com	110.75.228.31,45.113.40.175	-	端口未开放	端口未开放
links.alipay.com	45.113.42.210	-	端口未开放	端口未开放
eye.alipay.com	110.76.26.74	-	端口未开放	端口未开放
mx1.alipay.com	110.75.146.47,110.75.142.47	-	端口未开放	端口未开放
acc.alipay.com	45.113.40.143	-	端口未开放	端口未开放
real.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
long.alipay.com	110.76.26.92	-	端口未开放	端口未开放
light.alipay.com	100.67.119.68	-	端口未开放	端口未开放
care.alipay.com	103.52.199.71,45.113.40.205	-	端口未开放	端口未开放
cloud.alipay.com	120.55.176.218	80		80:正常访问
tax.alipay.com	103.52.198.136	-	端口未开放	端口未开放
arm.alipay.com	103.52.199.31	-	端口未开放	端口未开放
study.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
event.alipay.com	45.113.40.245	-	端口未开放	端口未开放
price.alipay.com	103.52.198.187,103.52.197.16	-	端口未开放	端口未开放
growth.alipay.com	103.52.198.236	-	端口未开放	端口未开放
tz.alipay.com	110.75.139.2,110.75.129.2,110.75.231.7,110.76.30.76	80,443	Tengine/2.1.0	80:(500) 内部服务器错误
pai.alipay.com	110.75.231.7,110.75.139.2,110.76.30.76,110.75.129.2	80,443	获取失败	80:-
kitchen.alipay.com	195.27.31.216,195.27.31.238	80,443	Tengine	80:正常访问
gray.alipay.com	110.76.26.195	-	端口未开放	端口未开放
risk.alipay.com	103.52.198.236	-	端口未开放	端口未开放
wisdom.alipay.com	45.113.40.205,103.52.199.71	-	端口未开放	端口未开放
solution.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
rescue.alipay.com	103.52.198.245	-	端口未开放	端口未开放
shield.alipay.com	103.52.198.31	-	端口未开放	端口未开放
rabbit.alipay.com	103.52.198.187,103.52.197.16	-	端口未开放	端口未开放
deer.alipay.com	45.113.42.7,110.75.228.32	-	端口未开放	端口未开放
pair.alipay.com	110.75.229.152,45.113.42.138,103.52.199.115	-	端口未开放	端口未开放
done.alipay.com	45.113.40.213,110.75.228.87,110.76.26.194	-	端口未开放	端口未开放
feature.alipay.com	103.52.199.53,45.113.40.178,110.76.26.34	-	端口未开放	端口未开放
compute.alipay.com	103.52.199.71,45.113.40.205	-	端口未开放	端口未开放
graph.alipay.com	110.75.229.87	-	端口未开放	端口未开放
inspect.alipay.com	110.75.228.92,110.75.229.15,45.113.42.104	-	端口未开放	端口未开放
matrix.alipay.com	103.52.197.207,103.52.198.84	-	端口未开放	端口未开放
finance.alipay.com	110.75.229.3	-	端口未开放	端口未开放
swift.alipay.com	110.75.229.85	-	端口未开放	端口未开放
basement.alipay.com	103.52.197.36,45.113.42.1	-	端口未开放	端口未开放
promotion.alipay.com	195.27.31.216,195.27.31.238	80,443	Tengine	80:正常访问
morse.alipay.com	103.52.199.71,45.113.40.205	-	端口未开放	端口未开放
financing.alipay.com	110.76.30.76,110.75.129.2	443	Tengine/2.1.0	443:尝试自动重定向的次数太多
label.alipay.com	110.76.30.76,110.75.129.2,110.75.139.2,110.75.231.7	443	Tengine/2.1.0	443:正常访问
fans.alipay.com	203.119.212.1	80,443	Tengine/Aserver	80:(404) 未找到
insight.alipay.com	45.113.40.205,103.52.199.71	-	端口未开放	端口未开放
painter.alipay.com	45.113.42.120	-	端口未开放	端口未开放
eve.alipay.com	45.113.42.165	-	端口未开放	端口未开放
appstore.alipay.com	110.75.138.10,110.75.139.1	443	Tengine/2.1.0	443:正常访问
bigdata.alipay.com	110.76.26.193	-	端口未开放	端口未开放
candy.alipay.com	100.67.88.97	-	端口未开放	端口未开放
chaos.alipay.com	45.113.40.254	-	端口未开放	端口未开放
coder.alipay.com	110.75.247.8	-	端口未开放	端口未开放
darwin.alipay.com	103.52.199.16,45.113.40.162,110.76.26.171	-	端口未开放	端口未开放
dayu.alipay.com	45.113.40.211	-	端口未开放	端口未开放
diaoyan.alipay.com	110.76.26.126	-	端口未开放	端口未开放
diver.alipay.com	100.67.88.30	-	端口未开放	端口未开放
fang.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
hybrid.alipay.com	45.113.42.66,110.76.26.219,110.75.228.43	-	端口未开放	端口未开放
admgr.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
idata.alipay.com	103.52.198.236	-	端口未开放	端口未开放
huoban.alipay.com	110.75.129.2,110.75.231.7,110.75.139.2,110.76.30.76	80,443	Tengine/2.1.0	80:正常访问
jinrong.alipay.com	45.113.42.52	-	端口未开放	端口未开放
koala.alipay.com	110.75.228.64	-	端口未开放	端口未开放
lego.alipay.com	45.113.40.225	-	端口未开放	端口未开放
mali.alipay.com	203.209.230.31,203.209.230.3,203.209.230.30,203.209.230.7,203.209.230.8	80,443	Tengine/2.1.0	80:正常访问
mashup.alipay.com	103.52.197.185,103.52.198.226	-	端口未开放	端口未开放
meta.alipay.com	45.113.42.99	-	端口未开放	端口未开放
mirrors.alipay.com	10.253.82.80	-	端口未开放	端口未开放
openauth.alipay.com	110.76.15.98,110.76.15.173	80,443	Tengine/2.1.0	80:正常访问
openadmin.alipay.com	103.52.197.16,103.52.198.187	-	端口未开放	端口未开放
panda.alipay.com	45.113.42.104,110.75.228.92,110.75.229.15	-	端口未开放	端口未开放
myapp.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
playback.alipay.com	110.76.26.252	-	端口未开放	端口未开放
pypi.alipay.com	103.52.199.80,45.113.40.214	-	端口未开放	端口未开放
iknow.alipay.com	110.75.139.2,110.75.231.7	80,443	获取失败	80:-
mobileapp.alipay.com	110.75.139.2,110.75.231.7	80,443	获取失败	80:-
sentry.alipay.com	103.52.199.71,45.113.40.205	-	端口未开放	端口未开放
spark.alipay.com	10.248.0.34	-	端口未开放	端口未开放
sync.alipay.com	103.52.198.120	-	端口未开放	端口未开放
tttest.alipay.com	110.76.1.90,110.76.26.90,110.76.17.91	-	端口未开放	端口未开放
tiyan.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine	80:正常访问
volvo.alipay.com	110.75.229.183,103.52.197.130	-	端口未开放	端口未开放
workflow.alipay.com	45.113.42.52	-	端口未开放	端口未开放
xiaoxi.alipay.com	110.75.129.2,110.76.30.76,110.76.15.131,110.76.15.98,110.76.15.47,110.76.15.34,110.76.15.148,110.75.231.7,110.76.15.173,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
wshop.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:正常访问
wuliu.alipay.com	110.76.30.76,110.75.231.7,110.75.139.2,110.75.129.2	443	Tengine/2.1.0	443:正常访问
yoyo.alipay.com	103.52.199.71,45.113.40.205	-	端口未开放	端口未开放
zizhu.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
yuqing.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine	80:正常访问
ur.alipay.com	195.27.31.216,195.27.31.238	80,443	Tengine	80:(404) 未找到
cw.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
dv.alipay.com	103.52.199.207	-	端口未开放	端口未开放
dx.alipay.com	110.76.26.173	-	端口未开放	端口未开放
dp.alipay.com	103.52.198.236	-	端口未开放	端口未开放
dw.alipay.com	45.113.40.222	-	端口未开放	端口未开放
hg.alipay.com	110.76.26.233	-	端口未开放	端口未开放
jk.alipay.com	103.52.198.236	-	端口未开放	端口未开放
pd.alipay.com	110.75.228.2,45.113.40.154	-	端口未开放	端口未开放
qt.alipay.com	45.113.42.226	-	端口未开放	端口未开放
ux.alipay.com	10.209.164.97	-	端口未开放	端口未开放
xj.alipay.com	45.113.42.104,110.75.228.92,110.75.229.15	-	端口未开放	端口未开放
wk.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
qy.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
acp.alipay.com	110.75.228.20	-	端口未开放	端口未开放
ade.alipay.com	45.113.42.115	-	端口未开放	端口未开放
adc.alipay.com	110.76.26.67	-	端口未开放	端口未开放
aft.alipay.com	110.76.26.64	-	端口未开放	端口未开放
akg.alipay.com	110.75.144.66	-	端口未开放	端口未开放
amc.alipay.com	45.113.40.205,103.52.199.71	-	端口未开放	端口未开放
apm.alipay.com	110.75.229.12	-	端口未开放	端口未开放
bis.alipay.com	110.75.231.7,110.75.139.2	80,443	Tengine/2.1.0	80:(404) 未找到
ati.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:正常访问
bcm.alipay.com	103.52.198.7	-	端口未开放	端口未开放
asa.alipay.com	110.75.139.2,110.75.231.7,110.76.30.76,110.75.129.2	80,443	Tengine/2.1.0	80:(404) 未找到
cdo.alipay.com	103.52.198.212	-	端口未开放	端口未开放
xy.alipay.com	110.75.139.2,110.75.231.7	80,443	Tengine/2.1.0	80:(404) 未找到
yq.alipay.com	110.75.231.7,110.75.139.2	80,443	获取失败	80:-
cri.alipay.com	103.52.198.236	-	端口未开放	端口未开放
csi.alipay.com	110.76.26.157	-	端口未开放	端口未开放
