域名	解析IP	开放端口	WEB服务器	网站状态
mx2.alimama.com	121.0.26.152	-	端口未开放	端口未开放
mx3.alimama.com	121.0.26.153	-	端口未开放	端口未开放
rule.alimama.com	106.11.223.87	80,443	Tengine/Aserver	80:正常访问
discover.alimama.com	106.11.210.201	-	端口未开放	端口未开放
self.alimama.com	106.11.210.202	-	端口未开放	端口未开放
banner.alimama.com	140.205.34.97	80,443	获取失败	80:-
brand.alimama.com	140.205.243.64	80,443	获取失败	80:-
kezhan.alimama.com	110.75.18.51	-	端口未开放	端口未开放
logo.alimama.com	202.127.76.251,202.127.76.252	80,443	Tengine/Aserver	80:正常访问
mx24.alimama.com	61.135.128.34	-	端口未开放	端口未开放
mx21.alimama.com	61.135.128.31	-	端口未开放	端口未开放
mx4.alimama.com	121.0.26.154	-	端口未开放	端口未开放
mx23.alimama.com	61.135.128.33	-	端口未开放	端口未开放
mx6.alimama.com	121.0.26.156	-	端口未开放	端口未开放
mx5.alimama.com	121.0.26.155	-	端口未开放	端口未开放
openvpn.bjbgp.alimama.com	197.4.4.12	-	端口未开放	端口未开放
openvpn.alimama.com	189.163.17.5	-	端口未开放	端口未开放
taobaoke.alimama.com	110.75.18.11	-	端口未开放	端口未开放
testclub.alimama.com	110.75.10.97	-	端口未开放	端口未开放
fb.alimama.com	106.11.223.97	80,443	Tengine/Aserver	80:正常访问
afp.alimama.com	140.205.34.97	80,443	获取失败	80:-
cps.alimama.com	110.75.18.11	-	端口未开放	端口未开放
djt.alimama.com	127.0.0.1	-	端口未开放	端口未开放
dmj.alimama.com	106.11.211.217	80,443	Tengine/Aserver	80:正常访问
dmp.alimama.com	203.119.204.209,203.119.214.202	80	获取失败	80:-
kol.alimama.com	205.204.101.49,198.11.132.8,198.11.132.51,205.204.101.15	80,443	Tengine/Aserver	80:正常访问
mca.alimama.com	106.11.55.61	-	端口未开放	端口未开放
pmo.alimama.com	103.52.197.158	-	端口未开放	端口未开放
pro.alimama.com	106.11.211.215	-	端口未开放	端口未开放
psm.alimama.com	106.11.209.173	-	端口未开放	端口未开放
uap.alimama.com	106.11.55.61	-	端口未开放	端口未开放
umc.alimama.com	106.11.210.202	-	端口未开放	端口未开放
ued.alimama.com	140.205.243.64	80,443	获取失败	80:-
utp.alimama.com	106.11.55.61	-	端口未开放	端口未开放
ump.alimama.com	203.119.215.106	80,443	Tengine/Aserver	80:正常访问
wao.alimama.com	47.91.195.254,47.91.195.253	80,443	Tengine	80:(404) 未找到
mx9.alimama.com	121.0.26.159	-	端口未开放	端口未开放
mx7.alimama.com	121.0.26.157	-	端口未开放	端口未开放
mx8.alimama.com	121.0.26.158	-	端口未开放	端口未开放
dfup.alimama.com	11.132.8.22,11.226.8.83	-	端口未开放	端口未开放
insa.alimama.com	106.11.210.201	-	端口未开放	端口未开放
mx61.alimama.com	61.135.128.91	-	端口未开放	端口未开放
mx52.alimama.com	61.135.128.82	-	端口未开放	端口未开放
mx43.alimama.com	61.135.128.73	-	端口未开放	端口未开放
mx37.alimama.com	61.135.128.47	-	端口未开放	端口未开放
mx35.alimama.com	61.135.128.45	-	端口未开放	端口未开放
mx27.alimama.com	61.135.128.37	-	端口未开放	端口未开放
mx33.alimama.com	61.135.128.43	-	端口未开放	端口未开放
mx50.alimama.com	61.135.128.80	-	端口未开放	端口未开放
mx36.alimama.com	61.135.128.46	-	端口未开放	端口未开放
mx45.alimama.com	61.135.128.75	-	端口未开放	端口未开放
mx34.alimama.com	61.135.128.44	-	端口未开放	端口未开放
mx57.alimama.com	61.135.128.87	-	端口未开放	端口未开放
mx49.alimama.com	61.135.128.79	-	端口未开放	端口未开放
mx40.alimama.com	61.135.128.50	-	端口未开放	端口未开放
mx46.alimama.com	61.135.128.76	-	端口未开放	端口未开放
mx26.alimama.com	61.135.128.36	-	端口未开放	端口未开放
mx25.alimama.com	61.135.128.35	-	端口未开放	端口未开放
mx29.alimama.com	61.135.128.39	-	端口未开放	端口未开放
mx17.alimama.com	61.135.128.27	-	端口未开放	端口未开放
mx54.alimama.com	61.135.128.84	-	端口未开放	端口未开放
mx69.alimama.com	61.135.128.15	-	端口未开放	端口未开放
mx28.alimama.com	61.135.128.38	-	端口未开放	端口未开放
mx47.alimama.com	61.135.128.77	-	端口未开放	端口未开放
mx64.alimama.com	61.135.128.94	-	端口未开放	端口未开放
mx68.alimama.com	61.135.128.14	-	端口未开放	端口未开放
mx11.alimama.com	61.135.128.21	-	端口未开放	端口未开放
mx14.alimama.com	61.135.128.24	-	端口未开放	端口未开放
mx58.alimama.com	61.135.128.88	-	端口未开放	端口未开放
mx19.alimama.com	61.135.128.29	-	端口未开放	端口未开放
mx10.alimama.com	121.0.26.160	-	端口未开放	端口未开放
mx18.alimama.com	61.135.128.28	-	端口未开放	端口未开放
mx63.alimama.com	61.135.128.93	-	端口未开放	端口未开放
mx38.alimama.com	61.135.128.48	-	端口未开放	端口未开放
mx51.alimama.com	61.135.128.81	-	端口未开放	端口未开放
mx32.alimama.com	61.135.128.42	-	端口未开放	端口未开放
mx31.alimama.com	61.135.128.41	-	端口未开放	端口未开放
mx59.alimama.com	61.135.128.89	-	端口未开放	端口未开放
mx16.alimama.com	61.135.128.26	-	端口未开放	端口未开放
mx13.alimama.com	61.135.128.23	-	端口未开放	端口未开放
mx42.alimama.com	61.135.128.72	-	端口未开放	端口未开放
mx41.alimama.com	61.135.128.71	-	端口未开放	端口未开放
mx39.alimama.com	61.135.128.49	-	端口未开放	端口未开放
mx60.alimama.com	61.135.128.90	-	端口未开放	端口未开放
mx66.alimama.com	61.135.128.12	-	端口未开放	端口未开放
mx65.alimama.com	61.135.128.11	-	端口未开放	端口未开放
mx67.alimama.com	61.135.128.13	-	端口未开放	端口未开放
mx72.alimama.com	61.135.128.18	-	端口未开放	端口未开放
mx73.alimama.com	61.135.128.19	-	端口未开放	端口未开放
mx74.alimama.com	61.135.128.20	-	端口未开放	端口未开放
mx20.alimama.com	61.135.128.30	-	端口未开放	端口未开放
mx70.alimama.com	61.135.128.16	-	端口未开放	端口未开放
mx44.alimama.com	61.135.128.74	-	端口未开放	端口未开放
mx62.alimama.com	61.135.128.92	-	端口未开放	端口未开放
mx56.alimama.com	61.135.128.86	-	端口未开放	端口未开放
tktg.alimama.com	119.42.227.209	-	端口未开放	端口未开放
ad.alimama.com	106.11.223.87	80,443	获取失败	80:-
help.alimama.com	106.11.211.227	80,443	获取失败	80:-
