域名	解析IP	开放端口	WEB服务器	网站状态
calendar.yahoo.com	87.248.118.23,87.248.118.22	80,443	获取失败	80:-
avatars.yahoo.com	212.82.100.141	80,443	获取失败	80:-
taxes.yahoo.com	212.82.100.141	80,443	获取失败	80:-
parks.yahoo.com	212.82.100.141	80,443	获取失败	80:-
deal.yahoo.com	98.136.101.175	80,443	获取失败	80:-
tr.yahoo.com	212.82.100.141	80,443	获取失败	80:-
members.yahoo.com	106.10.248.150	80	获取失败	80:-
au.wap.yahoo.com	87.248.116.11,87.248.116.12	80,443	获取失败	80:-
howto.yahoo.com	212.82.100.141	80,443	获取失败	80:-
snow.yahoo.com	212.82.100.141	80,443	获取失败	80:-
es.my.yahoo.com	212.82.100.141	80,443	获取失败	80:-
co.messenger.yahoo.com	87.248.118.22,87.248.118.23	80,443	获取失败	80:-
careers.yahoo.com	212.82.100.152	80,443	获取失败	80:-
camp.yahoo.com	106.10.248.150	80	获取失败	80:-
everything.yahoo.com	98.136.96.140,98.136.101.175	80,443	获取失败	80:-
cn.webmessenger.yahoo.com	87.248.116.12,87.248.116.11	80,443	获取失败	80:-
en.ca.acer.yahoo.com	212.82.100.141	80,443	获取失败	80:-
pe.yahoo.com	98.136.101.175,98.136.96.140	80,443	获取失败	80:-
de.games.yahoo.com	212.82.100.152	80,443	获取失败	80:-
cl.noticias.yahoo.com	98.136.101.175	80,443	获取失败	80:-
ca.oa.yahoo.com	87.248.118.22,87.248.118.23	80,443	获取失败	80:-
ar.news.yahoo.com	212.82.100.141	80,443	获取失败	80:-
be.mail.yahoo.com	87.248.100.137,87.248.100.136	80,443	获取失败	80:-
dsl.sbc.yahoo.com	98.136.101.175,98.136.96.140	80,443	获取失败	80:-
alliance.yahoo.com	212.82.100.141	80,443	获取失败	80:-
au.new.m.yahoo.com	87.248.114.11,87.248.114.12	80,443	获取失败	80:-
omg.yahoo.com	98.136.101.175	80,443	获取失败	80:-
cl.yahoo.com	212.82.100.141	80,443	获取失败	80:-
de.play.yahoo.com	212.82.100.141	80,443	获取失败	80:-
edit.yahoo.com	67.195.204.151	80,443	获取失败	80:-
espanol.yahoo.com	124.108.103.103,124.108.103.104	80,443	获取失败	80:-
w1.yahoo.com	98.136.96.140,98.136.101.175	80,443	获取失败	80:-
jobs.yahoo.com	212.82.100.141	80,443	获取失败	80:-
dictionary.yahoo.com	212.82.100.141	80,443	获取失败	80:-
ask.yahoo.com	212.82.100.141	80,443	获取失败	80:-
ca.travel.yahoo.com	212.82.100.141	80,443	获取失败	80:-
iris.yahoo.com	98.137.246.7,72.30.35.9,98.137.246.8,72.30.35.10,98.138.219.231,98.138.219.232	80	获取失败	80:-
celebrity.yahoo.com	212.82.100.141	80,443	获取失败	80:-
dk.mail.yahoo.com	87.248.100.136,87.248.100.137	80,443	获取失败	80:-
espanol.my.yahoo.com	212.82.100.141	80,443	获取失败	80:-
ar.finanzas.yahoo.com	212.82.100.141	80,443	获取失败	80:-
au.play.yahoo.com	98.136.101.175,98.136.96.140	80,443	获取失败	80:-
oss.m.yahoo.com	87.248.116.11,87.248.116.12	80,443	获取失败	80:-
e1.mail.yahoo.com	87.248.100.136,87.248.100.137	80,443	获取失败	80:-
cf.address.yahoo.com	87.248.100.136,87.248.100.137	80,443	获取失败	80:-
home.yahoo.com	212.82.100.141	80,443	获取失败	80:-
flowers.yahoo.com	106.10.248.150	80	获取失败	80:-
ca.wap.yahoo.com	87.248.116.11,87.248.116.12	80,443	获取失败	80:-
gaa.yahoo.com	212.82.100.141	80,443	获取失败	80:-
communications.yahoo.com	212.82.100.150,124.108.115.100,98.136.103.23,74.6.136.150,106.10.248.150	80	获取失败	80:-
ca.toolbar.yahoo.com	106.10.248.150	80	获取失败	80:-
compose.mail.yahoo.com	87.248.100.136,87.248.100.137	80,443	获取失败	80:-
de.my.yahoo.com	212.82.100.141	80,443	获取失败	80:-
cn.toolbar.yahoo.com	106.10.248.150	80	获取失败	80:-
ch.yahoo.com	212.82.100.141	80,443	获取失败	80:-
broadband.yahoo.com	106.10.248.150	80	获取失败	80:-
briefcase.yahoo.com	98.136.96.140,98.136.101.175	80,443	获取失败	80:-
de.yahoo.com	124.108.103.103,124.108.103.104	80,443	获取失败	80:-
dk.babelfish.yahoo.com	98.136.96.140,98.136.101.175	80,443	获取失败	80:-
ca.careers.yahoo.com	87.248.118.22,87.248.118.23	80,443	获取失败	80:-
ca.beta.messenger.yahoo.com	87.248.118.23,87.248.118.22	80,443	获取失败	80:-
cl.news.yahoo.com	98.136.101.175,98.136.96.140	80,443	获取失败	80:-
de.bookmarks.yahoo.com	106.10.248.150	80	获取失败	80:-
email.yahoo.com	212.82.100.141	80,443	获取失败	80:-
broadcast.yahoo.com	98.136.96.140,98.136.101.175	80,443	获取失败	80:-
de.spiele.yahoo.com	98.136.96.140,98.136.101.175	80,443	获取失败	80:-
radio.yahoo.com	106.10.248.150	80	获取失败	80:-
autos.yahoo.com	212.82.100.141	80,443	获取失败	80:-
